CITY                                   ZIPCODE P       RENT ESTIMATE ASKING   PCT                                          PROP_ID  
MELBOURNE BEACH                          32951 A      10.39   $1,196   $1,600 75%                                           387078  
                                         32951 B      10.39   $1,794   $2,150 83%                                           383924  
                                         32951 B      10.39   $1,886   $2,500 75%                                           458335  
                                         32951 B      10.39   $1,264   $2,300 55%                                           390932  
                                         32951 C      10.39     $790   $2,000 39%                                           455419  
                                                                                                                                    
MERRITT ISLAND                           32952 A      10.39   $1,973   $1,600 123%                                          181652  
                                         32952 A      10.39   $1,771   $1,300 136%                                          162121  
                                         32952 B      10.39   $1,837   $1,700 108%                                          160440  
                                         32952 B      10.39   $1,276   $1,300 98%                                           172189  
                                         32952 C      10.39   $2,045   $1,550 132%                                          182741  
                                         32953 A      10.39     $898     $850 106%                                          137975  
                                         32953 A      10.39   $1,593   $1,300 123%                                          147624  
                                         32953 A      10.39   $1,666   $1,200 139%                                          139892  
                                         32953 B      10.39     $894     $850 105%                                          146045  
                                         32953 B       10.4   $1,129   $1,200 94%                                           139891  
                                         32953 C      10.39     $873     $850 103%                                          150342  
                                         32953 C      10.39   $1,295   $1,100 118%                                          151512  
                                                                                                                                    
MOUNT DORA                               32757 B      11.44   $2,447   $1,500 163%                                          760629  
                                         32757 B      11.44   $2,899     $550 527%                                          761554  
                                         32757 B      11.44   $2,899     $675 429%                                          761554  
                                         32757 B      11.44   $2,899     $525 552%                                          761554  
                                                                                                                                    
NEW SMYRNA BEACH                         32169 B       9.33   $1,361   $3,295 41%                                           694601  
                                         32169 B       9.33   $2,029   $2,800 72%                                           694796  
                                         32169 B       9.33   $1,080     $995 109%                                          735133  
                                         32169 B       9.33   $1,166   $2,500 47%                                           723096  
                                         32169 B       9.33     $837   $1,800 47%                                           725781  
                                         32169 B       9.33     $902   $2,200 41%                                           703041  
                                                                                                                                    
OCOEE                                    34761 A      11.44   $1,098   $1,050 105%                                          860679  
                                         34761 A      11.44   $1,867   $1,700 110%                                          888196  
                                         34761 B      11.44   $3,065   $2,300 133%                                          845434  
                                         34761 B      11.44   $1,188   $1,050 113%                                          853310  
                                         34761 B      11.44   $1,160   $1,200 97%                                           853860  
                                         34761 B      11.44   $3,419   $2,150 159%                                          856365  
                                         34761 B      11.44   $3,130   $1,950 161%                                          856522  
                                         34761 B      11.44   $1,410   $1,250 113%                                          856870  
                                         34761 B      11.44   $1,608   $1,275 126%                                          861481  
                                         34761 B      11.44   $3,572   $2,200 162%                                          845210  
                                         34761 B      11.44   $2,219   $2,000 111%                                          888359  
                                         34761 B      11.44   $2,779   $2,300 121%                                          854781  
                                         34761 C      11.44     $878     $950 92%                                           875147  
                                                                                                                                    
ORANGE CITY                              32763 B       9.33   $1,047   $1,100 95%                                           522508  
                                         32763 B       9.33   $1,092     $600 182%                                          523531  
                                         32763 B       9.33   $1,186   $1,250 95%                                           513775  
                                         32763 B       9.33     $597     $725 82%                                           520869  
                                         32763 B       9.33   $1,232     $650 189%                                          511605  
                                         32763 B       9.33     $576     $700 82%                                           522924  
                                         32763 B       9.33   $1,207     $900 134%                                          524748  
                                         32763 B       9.33     $937     $900 104%                                          736973  
                                         32763 B       9.33     $871   $1,050 83%                                           509118  
                                         32763 B      18.93   $1,694     $850 199%                                          516382  
                                         32763 C       9.33   $1,073     $550 195%                                          526477  
                                                                                                                                    
ORLANDO                                  32801 A      11.44   $1,813   $2,000 91%                                           969747  
                                         32801 A      11.44   $2,586   $2,800 92%                                           981611  
                                         32801 A      11.44   $2,681   $1,750 153%                                          902137  
                                         32801 B      11.44 ########     $743 37955%                                       1025433  
                                         32801 B      11.44 ########     $620 57384%                                       1026599  
                                         32801 B      11.44   $1,688   $2,200 77%                                          1005800  
                                         32801 B      11.44   $1,449     $795 182%                                         1007250  
                                         32801 B      11.44 ########     $625 45121%                                       1025433  
                                         32801 B      11.44 ########     $545 51744%                                       1025433  
                                         32801 B      23.09  $26,029     $399 6524%                                         987338  
                                         32801 B      11.44 ########     $836 33733%                                       1025433  
                                         32801 B      11.44 ########     $520 68419%                                       1026599  
                                         32801 B      11.44   $2,038     $695 293%                                         1003663  
                                         32801 B       11.3   $4,726   $3,600 131%                                          995248  
                                         32801 B      11.44 ########     $650 43385%                                       1025433  
                                         32801 C      11.44   $1,554   $1,300 120%                                         1187869  
                                         32801 C      11.44   $2,564   $2,400 107%                                          982485  
                                         32801 C      11.44     $696     $875 80%                                          1156023  
                                         32801 C      11.44     $998     $795 126%                                         1107093  
                                         32801 C      11.44   $2,856   $1,817 157%                                         1260690  
                                         32803 A      11.44   $1,417   $1,695 84%                                          1128094  
                                         32803 A      11.44   $2,009   $2,000 100%                                          985978  
                                         32803 A      11.44   $1,180   $1,350 87%                                          1131354  
                                         32803 A      11.44   $1,733   $1,475 118%                                         1132359  
                                         32803 B      11.44   $3,603   $1,890 191%                                         1113496  
                                         32803 B      11.44   $3,603   $1,800 200%                                         1113496  
                                         32803 B      11.44   $2,396   $2,800 86%                                           967975  
                                         32803 B      11.44   $1,253     $575 218%                                         1128280  
                                         32803 B      11.44   $1,992   $1,695 117%                                         1128229  
                                         32803 B      11.44            $2,595 %                                            1112558  
                                         32803 B      11.44   $1,541     $825 187%                                          986402  
                                         32803 C      11.44   $1,095   $2,095 52%                                          1129475  
                                         32804 B      11.44   $1,547     $700 221%                                          972899  
                                         32804 B      11.44   $1,422   $1,395 102%                                          973068  
                                         32804 B      11.44   $1,468     $950 155%                                          973623  
                                         32804 B      11.44   $1,297   $1,300 100%                                          970220  
                                         32804 B      11.44   $1,325   $1,450 91%                                           963341  
                                         32804 C      11.44   $2,543   $3,600 71%                                           972294  
                                         32804 C      11.44   $1,102   $1,000 110%                                          953572  
                                         32804 C      11.44     $906     $900 101%                                          953828  
                                         32804 C      11.44   $1,764   $1,950 90%                                           982040  
                                         32805 B      11.44   $7,627     $521 1464%                                         991174  
                                         32805 B      11.44   $1,101   $1,417 78%                                          1013735  
                                         32805 C      11.44   $1,030   $1,000 103%                                         1012541  
                                         32805 C      11.44   $1,192     $950 125%                                          993841  
                                         32806 A      11.44   $1,281   $1,300 99%                                          1130999  
                                         32806 B      11.44   $1,189   $1,695 70%                                          1132686  
                                         32806 B      11.44   $1,272   $1,325 96%                                          1008023  
                                         32806 B      11.44   $2,349   $1,950 120%                                         1010267  
                                         32806 B      11.44   $1,839   $1,400 131%                                         1021800  
                                         32806 B      11.44   $1,697   $1,075 158%                                         1009723  
                                         32806 B      23.09   $1,716   $2,700 64%                                          1131025  
                                         32806 B      24.75  $15,511   $1,500 1034%                                        1010796  
                                         32806 C      11.44   $3,318   $1,895 175%                                         1009405  
                                         32807 A      46.92  $25,180     $695 3623%                                        1108790  
                                         32807 B      11.44   $1,696   $1,500 113%                                         1134849  
                                         32807 B      11.44            $3,000 %                                             949459  
                                         32807 B      11.44   $2,680   $1,700 158%                                         1127817  
                                         32807 B      11.44   $1,096   $1,050 104%                                         1126947  
                                         32807 B      11.44   $1,306   $1,000 131%                                         1126119  
                                         32807 C      11.44   $1,245     $990 126%                                         1145480  
                                         32807 C      11.44   $1,804   $1,550 116%                                         1109157  
                                         32807 C      11.44     $920     $799 115%                                         1119394  
                                         32807 C      11.44   $1,073     $800 134%                                         1138519  
                                         32807 C      11.44   $1,362   $1,290 106%                                         1120308  
                                         32808 B      11.44   $1,285     $850 151%                                          956665  
                                         32808 B      11.44   $1,785   $1,300 137%                                          956834  
                                         32808 B      11.67   $1,010     $750 135%                                          980373  
                                         32808 C      11.44   $1,086     $900 121%                                          961082  
                                         32808 C      11.44   $1,682   $1,090 154%                                          961248  
                                         32808 C      11.44   $1,139     $850 134%                                          961471  
                                         32808 C      11.44     $979     $750 131%                                          975869  
                                         32808 C      11.44     $827     $700 118%                                          978488  
                                         32808 C      11.44     $969     $950 102%                                          979067  
                                         32808 C      11.44   $1,086     $850 128%                                          864452  
                                         32808 C      11.44   $1,245   $1,100 113%                                          945120  
                                         32808 C      11.44   $1,298     $850 153%                                          945192  
                                         32808 C      11.44   $1,716     $650 264%                                          961744  
                                         32808 C      11.44   $1,033     $900 115%                                          957116  
                                         32808 C      11.44     $864     $725 119%                                          960059  
                                         32808 C      11.44   $1,237     $900 137%                                          959419  
                                         32808 C      11.44   $1,311     $967 136%                                          957957  
                                         32808 C      11.44   $1,203     $900 134%                                          957997  
                                         32809 B      11.44     $942     $599 157%                                         1041661  
                                         32809 B      11.44     $667     $725 92%                                          1040138  
                                         32809 C      11.44   $1,037     $895 116%                                         1042352  
                                         32809 C      11.44   $1,383   $1,250 111%                                         1035186  
                                         32809 C      11.44   $1,052   $1,000 105%                                         1033038  
                                         32809 C      11.44   $1,081     $975 111%                                         1042040  
                                         32810 C      11.44   $1,098     $875 126%                                          945348  
                                         32810 C      11.44     $946     $850 111%                                          945628  
                                         32810 C      11.44     $864     $850 102%                                          943615  
                                         32810 C      11.44     $767     $775 99%                                           942863  
                                         32810 C      11.44   $1,342   $1,200 112%                                          943574  
                                         32810 C      11.44   $1,187     $895 133%                                          939259  
                                         32811 B      11.44   $1,171     $950 123%                                         1029979  
                                         32811 B      11.44     $820     $925 89%                                          1018996  
                                         32811 B      11.44     $934     $725 129%                                         1018208  
                                         32811 B      11.44     $867     $750 116%                                         1017963  
                                         32811 C      11.44   $1,283     $950 135%                                          999285  
                                         32811 C      11.44     $938     $750 125%                                          999325  
                                         32811 C      11.44   $1,088     $900 121%                                         1031019  
                                         32811 C      11.44     $858     $797 108%                                         1015349  
                                         32811 C      11.44   $1,680     $900 187%                                         1016603  
                                         32811 C      11.44     $964     $750 129%                                          999140  
                                         32811 C      11.44   $1,115     $950 117%                                          998803  
                                         32811 C      11.44   $1,528     $950 161%                                          997636  
                                         32811 C      11.44     $767     $850 90%                                           995951  
                                         32811 C      11.44   $2,137   $1,100 194%                                          999875  
                                         32812 A      11.44   $1,917   $1,995 96%                                          1173435  
                                         32812 B      11.44   $1,951   $1,600 122%                                         1147833  
                                         32812 C      11.44     $938     $750 125%                                         1149956  
                                         32812 C      11.44     $522     $675 77%                                          1152020  
