SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
162,12,000,59400,00000,00000,Raiford town,Florida,255,255,255,251
162,12,000,59675,00000,00000,Reddick town,Florida,506,506,506,508
162,12,000,59725,00000,00000,Redington Beach town,Florida,1427,1427,1426,1428
162,12,000,59750,00000,00000,Redington Shores town,Florida,2121,2121,2120,2123
162,12,000,60975,00000,00000,Riviera Beach city,Florida,32488,32488,32556,32861
162,12,000,61500,00000,00000,Rockledge city,Florida,24926,24926,24948,24935
162,12,000,62100,00000,00000,Royal Palm Beach village,Florida,34140,34140,34213,34533
162,12,000,62425,00000,00000,Safety Harbor city,Florida,16884,16885,16880,16901
162,12,000,62500,00000,00000,St. Augustine city,Florida,12975,12975,13051,13336
162,12,000,62525,00000,00000,St. Augustine Beach city,Florida,6176,6176,6215,6366
162,12,000,62625,00000,00000,St. Cloud city,Florida,35183,35183,35322,36163
162,12,000,62775,00000,00000,St. Leo town,Florida,1340,1340,1340,1340
162,12,000,62800,00000,00000,St. Lucie Village town,Florida,590,590,592,595
162,12,000,62825,00000,00000,St. Marks city,Florida,293,293,294,296
162,12,000,62885,00000,00000,St. Pete Beach city,Florida,9346,9346,9343,9355
162,12,000,63000,00000,00000,St. Petersburg city,Florida,244769,244769,244683,244997
162,12,000,63375,00000,00000,San Antonio city,Florida,1138,1138,1140,1142
162,12,000,63650,00000,00000,Sanford city,Florida,53570,53633,53695,53926
162,12,000,63700,00000,00000,Sanibel city,Florida,6469,6469,6487,6602
162,12,000,64175,00000,00000,Sarasota city,Florida,51917,51983,52060,52341
162,12,000,64400,00000,00000,Satellite Beach city,Florida,10109,10109,10117,10113
162,12,000,64725,00000,00000,Sea Ranch Lakes village,Florida,670,670,672,682
162,12,000,64825,00000,00000,Sebastian city,Florida,21929,21929,21967,22067
162,12,000,64875,00000,00000,Sebring city,Florida,10491,10489,10486,10474
162,12,000,64975,00000,00000,Seminole city,Florida,17233,17233,17227,17250
162,12,000,65225,00000,00000,Sewall's Point town,Florida,1996,1996,2000,2013
162,12,000,65425,00000,00000,Shalimar town,Florida,717,717,717,728
162,12,000,66725,00000,00000,Sneads town,Florida,1849,1849,1846,1830
162,12,000,66925,00000,00000,Sopchoppy city,Florida,457,457,459,460
162,12,000,67175,00000,00000,South Bay city,Florida,4876,4876,4882,4911
162,12,000,67325,00000,00000,South Daytona city,Florida,12252,12252,12254,12258
162,12,000,67550,00000,00000,South Miami city,Florida,11657,11657,11688,11932
