SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
162,12,000,44300,00000,00000,Mexico Beach city,Florida,1072,1072,1074,1079,1092
162,12,000,45000,00000,00000,Miami city,Florida,399457,399508,400733,410335,413892
162,12,000,45025,00000,00000,Miami Beach city,Florida,87779,87784,88110,89946,90588
162,12,000,45060,00000,00000,Miami Gardens city,Florida,107167,107163,107486,109847,110754
162,12,000,45100,00000,00000,Miami Lakes town,Florida,29361,29364,29468,30148,30396
162,12,000,45175,00000,00000,Miami Shores village,Florida,10493,10329,10358,10550,10609
162,12,000,45200,00000,00000,Miami Springs city,Florida,13809,13809,13849,14135,14231
162,12,000,45225,00000,00000,Micanopy town,Florida,600,600,600,604,609
162,12,000,45425,00000,00000,Midway city,Florida,3004,3007,3042,3124,3205
162,12,000,45750,00000,00000,Milton city,Florida,8826,8826,8865,8984,9140
162,12,000,45900,00000,00000,Minneola city,Florida,9403,9403,9468,9583,9733
162,12,000,45975,00000,00000,Miramar city,Florida,122041,122041,122384,124946,128729
162,12,000,46500,00000,00000,Monticello city,Florida,2506,2506,2504,2478,2449
162,12,000,46525,00000,00000,Montverde town,Florida,1463,1463,1467,1479,1498
162,12,000,46550,00000,00000,Moore Haven city,Florida,1680,1680,1688,1717,1714
162,12,000,47050,00000,00000,Mount Dora city,Florida,12370,12185,12246,12467,12655
162,12,000,47200,00000,00000,Mulberry city,Florida,3817,3822,3824,3842,3865
162,12,000,47625,00000,00000,Naples city,Florida,19537,19537,19595,19831,20115
162,12,000,48100,00000,00000,Neptune Beach city,Florida,7037,7037,7038,7064,7112
162,12,000,48200,00000,00000,Newberry city,Florida,4950,4954,4977,5075,5174
162,12,000,48500,00000,00000,New Port Richey city,Florida,14911,14903,14903,14891,14934
162,12,000,48625,00000,00000,New Smyrna Beach city,Florida,22464,22554,22583,22670,22900
162,12,000,48750,00000,00000,Niceville city,Florida,12749,12749,12750,13009,13587
162,12,000,48900,00000,00000,Noma town,Florida,211,211,210,210,209
162,12,000,49225,00000,00000,North Bay Village city,Florida,7137,7137,7159,7310,7362
162,12,000,49425,00000,00000,North Lauderdale city,Florida,41023,41055,41163,41849,42413
162,12,000,49450,00000,00000,North Miami city,Florida,58786,58763,58935,60150,60565
162,12,000,49475,00000,00000,North Miami Beach city,Florida,41523,41523,41665,42605,42971
162,12,000,49600,00000,00000,North Palm Beach village,Florida,12015,12013,12035,12131,12272
162,12,000,49675,00000,00000,North Port city,Florida,57357,57337,57427,57667,58378
162,12,000,49725,00000,00000,North Redington Beach town,Florida,1417,1417,1417,1418,1426
162,12,000,50450,00000,00000,Oak Hill city,Florida,1792,1792,1791,1784,1788
162,12,000,50525,00000,00000,Oakland town,Florida,2538,2538,2544,2592,2658
162,12,000,50575,00000,00000,Oakland Park city,Florida,41363,41389,41500,42200,42832
162,12,000,50750,00000,00000,Ocala city,Florida,56315,56324,56354,56603,56945
162,12,000,50900,00000,00000,Ocean Breeze Park town,Florida,355,355,355,354,354
162,12,000,50950,00000,00000,Ocean Ridge town,Florida,1786,1786,1789,1806,1827
162,12,000,51075,00000,00000,Ocoee city,Florida,35579,35731,35933,37084,38354
162,12,000,51200,00000,00000,Okeechobee city,Florida,5621,5621,5628,5589,5585
162,12,000,51350,00000,00000,Oldsmar city,Florida,13591,13622,13615,13632,13703
